City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Moctezuma,MX,2022-04-24 15:25:02,29.8,-109.6667,68.38,21,0,2.26
99,Valparaiso,CL,2022-04-24 15:21:53,-33.0393,-71.6273,59.47,90,100,5.75
100,Severodvinsk,RU,2022-04-24 15:25:03,64.5635,39.8302,37.51,78,19,3.04
101,Maningrida,AU,2022-04-24 15:25:03,-12.0667,134.2667,78.69,82,97,3.85
102,Clyde River,CA,2022-04-24 15:25:03,70.4692,-68.5914,5.23,85,100,6.91
103,Kavaratti,IN,2022-04-24 15:25:04,10.5669,72.642,85.1,70,87,4.23
104,Baculin,PH,2022-04-24 15:25:04,7.4525,126.5842,78.12,86,100,2.84
105,Lorengau,PG,2022-04-24 15:25:05,-2.0226,147.2712,80.46,82,61,5.1
106,Tifton,US,2022-04-24 15:25:05,31.4505,-83.5085,76.96,61,75,6.91
107,Loukhi,RU,2022-04-24 15:25:05,66.0764,33.0381,39.58,89,98,3.87
108,Bambous Virieux,MU,2022-04-24 15:25:06,-20.3428,57.7575,76.21,83,75,19.57
109,Bluff,NZ,2022-04-24 15:25:06,-46.6,168.3333,52.81,83,91,19.08
110,Chokurdakh,RU,2022-04-24 15:25:06,70.6333,147.9167,-14.28,100,79,3.11
111,Bubaque,GW,2022-04-24 15:25:07,11.2833,-15.8333,77.92,75,17,16.26
112,Airai,TL,2022-04-24 15:25:07,-8.9266,125.4092,58.66,71,50,1.99
113,Qaanaaq,GL,2022-04-24 15:25:08,77.484,-69.3632,5.16,71,18,8.25
114,Salinopolis,BR,2022-04-24 15:25:08,-0.6136,-47.3561,74.84,91,100,4.52
115,Mehamn,NO,2022-04-24 15:25:08,71.0357,27.8492,37.81,83,100,14.67
116,Nizwa,OM,2022-04-24 15:25:09,22.9333,57.5333,88.34,30,99,8.52
117,Mar Del Plata,AR,2022-04-24 15:25:09,-38.0023,-57.5575,66.87,73,0,16.11
118,Riyadh,SA,2022-04-24 15:20:16,24.6877,46.7219,86.14,12,92,12.1
119,Namatanai,PG,2022-04-24 15:23:12,-3.6667,152.4333,79.07,77,22,5.7
120,Hambantota,LK,2022-04-24 15:25:10,6.1241,81.1185,82.74,94,40,3.44
121,Chuy,UY,2022-04-24 15:25:10,-33.6971,-53.4616,71.53,38,0,10.63
122,Ardakan,IR,2022-04-24 15:25:11,32.31,54.0175,86.11,12,100,10.4
123,El Alto,PE,2022-04-24 15:23:10,-4.2714,-81.2147,76.66,72,90,4.25
124,Norman Wells,CA,2022-04-24 15:25:11,65.282,-126.8329,35.64,64,20,6.91
125,La Ronge,CA,2022-04-24 15:25:12,55.1001,-105.2842,34.02,64,40,11.5
126,Saldanha,ZA,2022-04-24 15:21:21,-33.0117,17.9442,64.45,75,0,14.76
127,Saint-Philippe,RE,2022-04-24 15:25:12,-21.3585,55.7679,76.59,80,98,15.75
128,Marrakesh,MA,2022-04-24 15:21:22,31.6315,-8.0083,69.87,43,75,5.75
129,Esil,KZ,2022-04-24 15:25:13,51.9556,66.4042,46.42,31,84,8.39
130,Nanortalik,GL,2022-04-24 15:25:13,60.1432,-45.2371,38.8,86,93,4.54
131,Upernavik,GL,2022-04-24 15:25:12,72.7868,-56.1549,7.52,81,58,10.56
132,Vila Franca Do Campo,PT,2022-04-24 15:26:14,37.7167,-25.4333,59.41,65,7,17.31
133,Corowa,AU,2022-04-24 15:26:14,-36.0333,146.3833,46.58,71,45,5.59
134,Bangui,CF,2022-04-24 15:26:15,4.3612,18.555,92.59,42,99,2.73
135,Killybegs,IE,2022-04-24 15:26:15,54.6333,-8.45,58.71,50,32,14.47
136,Asau,RO,2022-04-24 15:22:46,46.4333,26.4,70.95,40,62,3.53
137,Grand-Santi,GF,2022-04-24 15:26:16,4.25,-54.3833,82.35,74,98,4.79
138,La Esperanza,GT,2022-04-24 15:26:16,14.8667,-91.5667,61.95,78,75,0.0
139,Ahipara,NZ,2022-04-24 15:26:16,-35.1667,173.1667,61.57,82,25,12.55
140,Belmonte,BR,2022-04-24 15:26:17,-15.8631,-38.8828,85.46,66,24,7.63
141,Lagoa,PT,2022-04-24 15:26:17,39.05,-27.9833,57.6,73,4,20.6
142,Dingle,PH,2022-04-24 15:26:18,10.9995,122.6711,77.14,89,93,6.98
143,Pereyaslovskaya,RU,2022-04-24 15:26:18,45.8412,39.0238,64.8,65,23,9.46
144,Healdsburg,US,2022-04-24 15:26:19,38.6105,-122.8692,59.54,91,0,0.0
145,Flinders,AU,2022-04-24 15:26:19,-34.5833,150.8552,61.88,89,99,4.0
146,North Platte,US,2022-04-24 15:26:19,41.1239,-100.7654,49.89,51,40,34.0
147,Yumen,CN,2022-04-24 15:26:20,40.2833,97.2,65.28,15,1,14.34
148,Quatre Cocos,MU,2022-04-24 15:26:20,-20.2078,57.7625,76.08,75,99,20.18
149,Berlevag,NO,2022-04-24 15:26:20,70.8578,29.0864,37.2,92,100,11.59
150,Jimma,ET,2022-04-24 15:26:21,7.6667,36.8333,68.22,81,100,3.27
151,Luis Correia,BR,2022-04-24 15:26:21,-2.8792,-41.6669,89.6,58,40,4.61
152,Tigil,RU,2022-04-24 15:26:22,57.8,158.6667,25.74,93,100,3.98
153,Meulaboh,ID,2022-04-24 15:26:22,4.1363,96.1285,79.84,85,97,1.28
154,Golden,US,2022-04-24 15:26:23,39.7555,-105.2211,48.83,45,40,11.99
155,Georgetown,MY,2022-04-24 15:23:40,5.4112,100.3354,84.13,92,40,4.61
156,Nishihara,JP,2022-04-24 15:23:14,26.1842,127.7558,75.25,91,20,9.22
157,Tuatapere,NZ,2022-04-24 15:26:23,-46.1333,167.6833,51.48,89,99,6.42
158,Hokitika,NZ,2022-04-24 15:26:24,-42.7167,170.9667,52.36,86,78,6.33
159,Vao,NC,2022-04-24 15:26:24,-22.6667,167.4833,73.98,70,100,21.47
160,Atuona,PF,2022-04-24 15:26:24,-9.8,-139.0333,78.53,76,27,19.73
161,Dikson,RU,2022-04-24 15:26:25,73.5069,80.5464,9.57,94,99,11.41
162,Beringovskiy,RU,2022-04-24 15:26:25,63.05,179.3167,14.25,95,80,1.52
163,Yaan,NG,2022-04-24 15:26:26,7.3833,8.5667,90.68,48,78,8.7
164,Bengkulu,ID,2022-04-24 15:26:26,-3.8004,102.2655,77.47,91,59,3.62
165,Westlock,CA,2022-04-24 15:26:26,54.1502,-113.8688,49.1,69,2,8.12
166,San Quintin,MX,2022-04-24 15:26:09,30.4833,-115.95,63.16,59,0,2.44
167,Necochea,AR,2022-04-24 15:26:27,-38.5473,-58.7368,70.57,47,8,12.1
168,Gweta,BW,2022-04-24 15:26:27,-20.1833,25.2333,82.8,30,59,10.63
169,Roma,US,2022-04-24 15:26:27,43.2128,-75.4557,64.87,45,0,11.5
170,Pisco,PE,2022-04-24 15:26:28,-13.7,-76.2167,62.65,94,100,5.75
171,Plettenberg Bay,ZA,2022-04-24 15:26:28,-34.0527,23.3716,61.23,59,22,8.84
172,Atuntaqui,EC,2022-04-24 15:26:28,0.3333,-78.2167,63.23,76,92,3.49
173,Lang Son,VN,2022-04-24 15:26:29,21.8333,106.7333,74.26,91,0,4.27
174,Margate,GB,2022-04-24 15:26:29,51.3813,1.3862,54.7,74,1,10.0
175,Usvyaty,RU,2022-04-24 15:26:30,55.7456,30.7533,50.86,68,76,6.38
176,Petropavlovsk-Kamchatskiy,RU,2022-04-24 15:26:30,53.0452,158.6483,34.39,80,0,11.18
