City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
637,Tebingtinggi,ID,79.2,overcast clouds,3.3285,99.1625,Tebing Tinggi
638,Bagado,CO,79.95,overcast clouds,5.4116,-76.4152,Bagadó
650,Puerto Madero,MX,84.11,overcast clouds,14.7208,-92.4215,Puerto Madero
651,Kimbe,PG,87.55,clear sky,-5.5502,150.1429,Kimbe
653,Tahoua,NE,89.58,clear sky,14.8888,5.2692,Tahoua
655,Ixtapa,MX,77.23,broken clouds,20.7,-105.2,Puerto Vallarta
663,Raga,SS,77.18,overcast clouds,8.4596,25.678,Raga
667,Sambava,MG,77.2,broken clouds,-14.2667,50.1667,Sambava
668,Ugoofaaru,MV,85.14,overcast clouds,5.6667,73.0,Ungoofaaru
669,Darbhanga,IN,80.19,clear sky,26.1667,85.9,Darbhanga
671,Shasta Lake,US,79.36,broken clouds,40.6804,-122.3708,Redding
674,Amravati,IN,89.78,broken clouds,20.9333,77.75,Amravati
678,Luganville,VU,84.49,overcast clouds,-15.5333,167.1667,Luganville
682,Mandera,KE,75.61,overcast clouds,3.9366,41.867,Mandera
683,Male,MV,85.95,broken clouds,4.1748,73.5089,Malé
