City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
106,Veraval,IN,20.9,70.3667,81.61,88,0,9.55,clear sky
107,Malakal,SS,9.5334,31.6605,85.71,39,100,6.98,overcast clouds
108,Murdochville,CA,48.9583,-65.5006,32.88,96,99,4.27,overcast clouds
109,Chato,TZ,-2.6378,31.7669,63.75,94,100,6.35,light rain
110,Mayskiy,RU,47.6931,40.1025,47.61,53,100,9.62,overcast clouds
111,Lagoa,PT,39.05,-27.9833,60.96,82,9,2.75,clear sky
112,Levelland,US,33.5873,-102.378,72.95,73,100,22.21,overcast clouds
113,Shache,CN,38.4167,77.2406,59.72,20,4,5.82,clear sky
114,Riverton,US,40.5219,-111.9391,52.84,71,75,11.01,broken clouds
115,Tigil,RU,57.8,158.6667,34.02,92,97,7.92,overcast clouds
116,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,75,75,11.5,broken clouds
117,Voronezh,RU,51.6664,39.17,32.02,69,0,0.0,clear sky
118,Te Anau,NZ,-45.4167,167.7167,59.95,62,10,5.46,clear sky
119,Lasa,IT,46.6166,10.7002,49.08,91,48,3.49,scattered clouds
120,Muroto,JP,33.2833,134.15,60.84,52,100,4.03,overcast clouds
121,Ust-Ilimsk,RU,58.0006,102.6619,35.29,71,100,10.29,overcast clouds
122,Khorramshahr,IR,30.4397,48.1664,82.36,34,0,6.91,dust
123,Xuanhua,CN,40.6103,115.0447,62.74,34,6,3.96,clear sky
124,Shostka,UA,51.863,33.4698,42.04,72,100,5.91,overcast clouds
125,Sisimiut,GL,66.9395,-53.6735,25.65,74,100,6.22,overcast clouds
126,Ndele,CF,8.4109,20.6473,74.23,80,100,6.29,overcast clouds
127,Saint-Pierre,RE,-21.3393,55.4781,73.29,72,0,5.75,clear sky
128,Meulaboh,ID,4.1363,96.1285,77.88,87,91,3.65,overcast clouds
129,Port Elizabeth,ZA,-33.918,25.5701,54.32,90,0,5.75,clear sky
130,Provideniya,RU,64.3833,-173.3,29.44,56,8,12.19,clear sky
131,Husavik,IS,66.0449,-17.3389,27.36,75,100,8.41,overcast clouds
132,Cape Coast,GH,5.1053,-1.2466,80.62,83,100,8.14,overcast clouds
133,Houma,US,29.5958,-90.7195,77.0,90,75,3.0,broken clouds
134,Kilindoni,TZ,-7.9139,39.6668,79.86,77,60,18.84,light rain
135,Lukaya,UG,-0.1489,31.8748,62.58,86,100,2.89,overcast clouds
136,Nikolskoye,RU,59.7035,30.7861,40.71,93,47,5.14,scattered clouds
137,Bilma,NE,18.6853,12.9164,89.78,11,8,8.95,clear sky
